"No.","Player","Pos.x","Ht","Wt","Birth.Date","X.","Exp","College","playerurls","Salary","Season","Age","Tm","Lg","Pos.y","G","GS","MP","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","eFG%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","CareerG","CareerGS","CareerMP","CareerFG","CareerFGA","Career3P","Career3PA","Career2P","Career2PA","CareerFT","CareerFTA","CareerORB","CareerDRB","CareerTRB","CareerAST","CareerSTL","CareerBLK","CareerTOV","CareerPF","CareerPTS","PlayoffSeason","PlayoffAge","PlayoffTm","PlayoffLg","PlayoffPos","PlayoffG","PlayoffGS","PlayoffMP","PlayoffFG","PlayoffFGA","PlayoffFG%","Playoff3P","Playoff3PA","Playoff3P%","Playoff2P","Playoff2PA","Playoff2P%","PlayoffeFG%","PlayoffFT","PlayoffFTA","PlayoffFT%","PlayoffORB","PlayoffDRB","PlayoffTRB","PlayoffAST","PlayoffSTL","PlayoffBLK","PlayoffTOV","PlayoffPF","PlayoffPTS","CareerPlayoffG","CareerPlayoffGS","CareerPlayoffMP","CareerPlayoffFG","CareerPlayoffFGA","CareerPlayoff3P","CareerPlayoff3PA","CareerPlayoff2P","CareerPlayoff2PA","CareerPlayoffFT","CareerPlayoffFTA","CareerPlayoffORB","CareerPlayoffDRB","CareerPlayoffTRB","CareerPlayoffAST","CareerPlayoffSTL","CareerPlayoffBLK","CareerPlayoffTOV","CareerPlayoffPF","CareerPlayoffPTS"
0,"Aaron Brooks","PG","6-0",161,"January 14, 1985","us",6,"University of Oregon","http://www.basketball-reference.com/players/b/brookaa01.html",1145685,"2013-14",29,"TOT","NBA","PG",72,12,1557,233,581,0.401,96,248,0.387,137,333,0.411,0.484,83,95,0.874,43,97,140,233,52,13,117,146,645,397,161,9363,1580,3823,574,1561,1006,2262,683,806,176,550,726,1339,244,53,684,775,4417,"0",0,"0","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,13,561,98,229,28,83,70,146,49,62,7,42,49,58,6,4,38,43,273
21,"A.J. Price","PG","6-2",181,"October 7, 1986","us",5,"University of Connecticut","http://www.basketball-reference.com/players/p/priceaj01.html",62552,"2013-14",27,"MIN","NBA","SG",28,0,99,19,46,0.413,6,22,0.273,13,24,0.542,0.478,0,2,0,1,9,10,13,1,0,7,5,44,235,25,3605,498,1307,203,633,295,674,191,255,62,283,345,521,118,9,215,222,1390,"0",0,"0","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,87,14,37,7,16,7,21,9,10,3,6,9,7,3,0,7,5,44
6,"Alan Anderson","SG","6-6",220,"October 16, 1982","us",5,"Michigan State University","http://www.basketball-reference.com/players/a/anderal01.html",1276061,"2013-14",31,"BRK","NBA","SF",78,26,1773,194,485,0.4,84,248,0.339,110,237,0.464,0.487,92,118,0.78,40,135,175,81,48,11,62,147,564,213,47,4549,597,1505,232,672,365,833,299,363,116,343,459,263,119,25,221,394,1725,"2013-14",31,"BRK","NBA","SF",12,2,261,25,62,0.403,9,31,0.29,16,31,0.516,0.476,12,18,0.667,10,22,32,15,10,0,10,32,71,12,2,261,25,62,9,31,16,31,12,18,10,22,32,15,10,0,10,32,71
10,"Alec Burks","SG","6-6",214,"July 20, 1991","us",3,"University of Colorado","http://www.basketball-reference.com/players/b/burksal01.html",3034356,"2013-14",22,"UTA","NBA","SG",78,12,2193,380,831,0.457,50,143,0.35,330,688,0.48,0.487,279,373,0.748,59,198,257,212,69,14,149,190,1089,201,12,4269,696,1576,98,280,598,1296,475,645,153,381,534,359,131,32,274,388,1965,"0",0,"0","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,63,7,28,0,2,7,26,12,14,5,6,11,3,2,0,3,4,26
88,"Alexey Shved","SG","6-6",190,"December 16, 1988","ru",2,"","http://www.basketball-reference.com/players/s/shvedal01.html",3282056,"2013-14",25,"MIN","NBA","SG",63,0,664,76,237,0.321,30,102,0.294,46,135,0.341,0.384,68,90,0.756,21,60,81,68,26,16,48,36,250,140,16,2504,312,872,115,390,197,482,176,240,62,194,256,354,80,43,195,153,915,"0",0,"0","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,"Alexis Ajinca","C","7-2",248,"May 6, 1988","fr",4,"","http://www.basketball-reference.com/players/a/ajincal01.html",981084,"2013-14",25,"NOP","NBA","C",56,30,951,136,249,0.546,0,1,0,136,248,0.548,0.546,56,67,0.836,94,183,277,40,23,46,63,187,328,127,36,1503,225,461,12,37,213,424,89,114,121,268,389,53,42,72,95,299,551,"0",0,"0","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,"Alex Len","C","7-1",260,"June 16, 1993","ua",1,"University of Maryland","http://www.basketball-reference.com/players/l/lenal01.html",3649920,"2013-14",20,"PHO","NBA","C",42,3,362,33,78,0.423,0,0,0,33,78,0.423,0.423,20,31,0.645,39,60,99,4,4,18,26,68,86,42,3,362,33,78,0,0,33,78,20,31,39,60,99,4,4,18,26,68,86,"0",0,"0","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,"Al-Farouq Aminu","SF","6-9",220,"September 21, 1990","us",4,"Wake Forest University","http://www.basketball-reference.com/players/a/aminual01.html",981084,"2013-14",23,"NOP","NBA","SF",80,65,2045,234,494,0.474,13,48,0.271,221,446,0.496,0.487,91,137,0.664,129,367,496,114,82,38,88,147,572,303,171,7040,769,1739,75,257,694,1482,370,507,438,1218,1656,343,292,148,398,557,1983,"0",0,"0","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,"Al Horford","C","6-10",245,"June 3, 1986","do",7,"University of Florida","http://www.basketball-reference.com/players/h/horfoal01.html",1.2e+07,"2013-14",27,"ATL","NBA","C",29,29,958,238,420,0.567,4,11,0.364,234,409,0.572,0.571,58,85,0.682,66,178,244,76,27,44,64,56,538,420,416,14393,2496,4613,10,29,2486,4584,881,1198,1098,2906,4004,1082,346,478,708,1115,5883,"0",0,"0","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,47,1711,245,513,1,4,244,509,102,137,104,313,417,131,32,53,72,148,593
25,"Al Jefferson","C","6-10",289,"January 4, 1985","us",10,"","http://www.basketball-reference.com/players/j/jeffeal01.html",13666667,"2013-14",29,"CHA","NBA","C",73,73,2553,700,1376,0.509,3,15,0.2,697,1361,0.512,0.51,191,277,0.69,156,636,792,155,67,79,124,176,1594,701,570,21796,5084,10150,6,57,5078,10093,1738,2436,1793,4627,6420,1077,516,929,1055,1900,11912,"2013-14",29,"CHA","NBA","C",3,3,106,26,53,0.491,0,0,0,26,53,0.491,0.491,4,5,0.8,6,22,28,2,1,5,1,7,56,14,7,383,79,162,0,1,79,161,14,21,30,77,107,14,10,16,10,33,172
